garden	basement	elevator	balcony	floor (storey)	nmbr of rooms	construction year	unemployment	Anteil Gruenenwaehler	price
FALSE	TRUE	FALSE	FALSE	-1	2	1906	2	3	0
FALSE	TRUE	FALSE	TRUE	1	2.5	1955	3	1	0
FALSE	TRUE	FALSE	TRUE	1	1	1974	1	1	0
FALSE	TRUE	FALSE	TRUE	1	1	1974	1	1	0
FALSE	TRUE	TRUE	TRUE	2	2	2021	3	1	1
FALSE	TRUE	TRUE	FALSE	5	2	1968	2	1	0
FALSE	FALSE	FALSE	TRUE	-1	2	1972	1	1	0
FALSE	FALSE	FALSE	TRUE	-1	2	1972	1	1	0
FALSE	FALSE	FALSE	TRUE	3	2	1949	2	3	1
FALSE	FALSE	FALSE	TRUE	1	1.5	1993	1	1	0
FALSE	FALSE	TRUE	TRUE	1	2	1973	1	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1955	2	2	0
FALSE	TRUE	TRUE	TRUE	1	2	2021	3	1	1
FALSE	TRUE	TRUE	TRUE	2	2	2021	3	1	1
FALSE	TRUE	TRUE	TRUE	-1	2	2021	3	1	1
FALSE	FALSE	TRUE	FALSE	1	1	2021	3	3	1
FALSE	FALSE	FALSE	TRUE	-1	2	1967	1	1	0
TRUE	TRUE	FALSE	FALSE	-1	2	1984	3	1	0
TRUE	FALSE	TRUE	TRUE	1	1	1955	1	2	1
FALSE	TRUE	TRUE	FALSE	1	1	1974	2	2	1
FALSE	TRUE	FALSE	TRUE	-1	2	1966	2	1	0
FALSE	FALSE	FALSE	TRUE	-1	2	1952	2	3	0
FALSE	TRUE	FALSE	TRUE	4	2	1982	2	1	0
FALSE	TRUE	TRUE	TRUE	2	2	2021	3	1	1
TRUE	FALSE	TRUE	TRUE	2	1	1955	1	2	1
TRUE	FALSE	TRUE	TRUE	2	1	1955	1	2	1
TRUE	TRUE	TRUE	FALSE	-1	2	1995	2	1	0
FALSE	TRUE	TRUE	TRUE	2	2	1995	2	3	0
FALSE	FALSE	FALSE	FALSE	-1	1.5	2021	1	1	0
FALSE	TRUE	TRUE	TRUE	-1	2	2021	3	1	1
FALSE	TRUE	FALSE	TRUE	2	2	1952	1	3	0
FALSE	FALSE	FALSE	TRUE	1	2	1970	1	2	0
FALSE	FALSE	FALSE	FALSE	-1	1.5	2021	1	1	0
TRUE	FALSE	TRUE	TRUE	1	1	1955	1	2	1
FALSE	FALSE	FALSE	TRUE	4	3	1992	3	2	0
FALSE	FALSE	TRUE	TRUE	5	2	1964	3	1	0
FALSE	FALSE	FALSE	FALSE	2	2	1951	3	3	0
FALSE	FALSE	FALSE	TRUE	3	2	1956	2	3	1
FALSE	TRUE	FALSE	TRUE	-1	2.5	1969	1	2	0
FALSE	TRUE	FALSE	TRUE	-1	2.5	1953	3	2	0
TRUE	TRUE	FALSE	TRUE	-1	2	1967	1	1	0
FALSE	TRUE	FALSE	TRUE	-1	3	1959	2	1	0
FALSE	FALSE	TRUE	TRUE	8	2	1966	2	3	0
FALSE	FALSE	FALSE	FALSE	-1	2	1977	2	1	0
